datum,region,beruf,anzahl
2026-07-06,waiblingen_15km,Verkäufer/in,168
2026-07-06,waiblingen_15km,Erzieher/in,114
2026-07-06,waiblingen_15km,Gabelstaplerfahrer/in,102
2026-07-06,waiblingen_15km,Ingenieur/in - Elektrotechnik,98
2026-07-06,waiblingen_15km,Elektroanlagenmonteur/in,86
2026-07-06,waiblingen_15km,Helfer/in - Reinigung,85
2026-07-06,waiblingen_15km,"Helfer/in - Lagerwirtschaft, Transport",84
2026-07-06,waiblingen_15km,Altenpfleger/in,80
2026-07-06,waiblingen_15km,IT-Systemadministrator/in,65
2026-07-06,waiblingen_15km,Industriemechaniker/in,64
2026-07-06,waiblingen_15km,Gesundheits- und Krankenpfleger/in,62
2026-07-06,waiblingen_15km,Lager- und Transportarbeiter/in,62
2026-07-06,waiblingen_15km,Helfer/in - Verkauf,62
2026-07-06,waiblingen_15km,Berufskraftfahrer/in,56
2026-07-06,waiblingen_15km,Fachkraft - Lagerlogistik,56
2026-07-06,waiblingen_15km,"Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik",54
2026-07-06,waiblingen_15km,IT-Berater/in,52
2026-07-06,waiblingen_15km,Medizinische/r Fachangestellte/r,52
2026-07-06,waiblingen_15km,Sozialarbeiter/in / Sozialpädagoge/-pädagogin,51
2026-07-06,waiblingen_15km,Elektroniker/in - Energie- und Gebäudetechnik,47
2026-07-06,waiblingen_15km,Mechatroniker/in,47
2026-07-06,waiblingen_15km,Elektroniker/in - Betriebstechnik,44
2026-07-06,waiblingen_15km,Bürokaufmann/-frau,44
2026-07-06,waiblingen_15km,Montierer/in,42
2026-07-06,waiblingen_15km,"Filialleiter/in, Verkaufsstellenleiter/in",42
2026-07-06,waiblingen_15km,Maschinen- und Anlagenführer/in (ohne Angabe des Schwerpunkts),41
2026-07-06,waiblingen_15km,Koch/Köchin,40
2026-07-06,waiblingen_15km,Informatiker/in,40
2026-07-06,waiblingen_15km,Kaufmann/-frau - Büromanagement,39
2026-07-06,waiblingen_15km,Helfer/in - Metallbearbeitung,38
2026-07-06,waiblingen_15km,Fachlagerist/in,37
2026-07-06,waiblingen_15km,Helfer/in - Elektro,36
2026-07-06,waiblingen_15km,Helfer/in - Küche,35
2026-07-06,waiblingen_15km,Anwendungsprogrammierer/in,35
2026-07-06,waiblingen_15km,Altenpflegehelfer/in,34
2026-07-06,waiblingen_15km,Buchhalter/in,34
2026-07-06,waiblingen_15km,Fachinformatiker/in - Systemintegration,33
2026-07-06,waiblingen_15km,Heilerziehungspfleger/in,32
2026-07-06,waiblingen_15km,Kaufmännische Fachkraft,32
2026-07-06,waiblingen_15km,Anlagenmechaniker/in,32
2026-07-06,waiblingen_15km,Zerspanungsmechaniker/in,31
2026-07-06,waiblingen_15km,Elektroinstallateur/in,31
2026-07-06,waiblingen_15km,Industriekaufmann/-frau,30
2026-07-06,waiblingen_15km,CNC-Dreher/in,29
2026-07-06,waiblingen_15km,Pflegefachmann/-frau (Altenpflege),29
2026-07-06,waiblingen_15km,Finanzbuchhalter/in,29
2026-07-06,waiblingen_15km,Physiotherapeut/in,29
2026-07-06,waiblingen_15km,CNC-Fräser/in,28
2026-07-06,waiblingen_15km,Ingenieur/in - Bau,28
2026-07-06,waiblingen_15km,IT-Projektkoordinator/in,28
2026-07-06,waiblingen_15km,Controller/in,27
2026-07-06,waiblingen_15km,Ingenieur/in - Maschinenbau,25
